# r,w_mean,copy
3.329041302204132080e-01,7.080408449168317020e+00,1.000000000000000000e+00
3.363555967807769775e-01,6.864044801972340792e+00,1.000000000000000000e+00
3.168784379959106445e-01,6.666827954584732652e+00,1.000000000000000000e+00
3.260945379734039307e-01,6.747918778797611594e+00,1.000000000000000000e+00
3.182039260864257812e-01,6.767823364411015064e+00,1.000000000000000000e+00
3.182039260864257812e-01,6.767823364411015064e+00,1.000000000000000000e+00
2.900813817977905273e-01,6.892607684072572738e+00,1.000000000000000000e+00
3.163888454437255859e-01,7.130602288118097931e+00,1.000000000000000000e+00
3.030169308185577393e-01,7.171013429062440991e+00,1.000000000000000000e+00
3.340267241001129150e-01,7.037225861975457519e+00,1.000000000000000000e+00
2.926915287971496582e-01,6.757530852570198476e+00,1.000000000000000000e+00
2.903170287609100342e-01,6.742315572046209127e+00,1.000000000000000000e+00
3.006476461887359619e-01,6.757543533924035728e+00,1.000000000000000000e+00
3.006476461887359619e-01,6.757543533924035728e+00,1.000000000000000000e+00
3.419284224510192871e-01,6.682173090288415551e+00,1.000000000000000000e+00
3.419284224510192871e-01,6.682173090288415551e+00,1.000000000000000000e+00
3.082528114318847656e-01,7.223378372611477971e+00,1.000000000000000000e+00
2.947437465190887451e-01,6.894322657055454329e+00,1.000000000000000000e+00
2.881284058094024658e-01,6.975888913439121097e+00,1.000000000000000000e+00
2.983247041702270508e-01,6.853758134646341205e+00,1.000000000000000000e+00
3.312969207763671875e-01,6.819386560353450477e+00,1.000000000000000000e+00
3.274885416030883789e-01,6.962503309070598334e+00,1.000000000000000000e+00
3.168028891086578369e-01,6.941571055911481380e+00,1.000000000000000000e+00
3.300442397594451904e-01,6.928572318458463997e+00,1.000000000000000000e+00
2.988206744194030762e-01,6.835209801094606519e+00,1.000000000000000000e+00
2.942934334278106689e-01,6.751262443140149117e+00,1.000000000000000000e+00
2.942934334278106689e-01,6.751262443140149117e+00,1.000000000000000000e+00
3.185428082942962646e-01,6.488555033691227436e+00,1.000000000000000000e+00
2.892166376113891602e-01,6.608041507191956043e+00,1.000000000000000000e+00
3.121317625045776367e-01,6.636001396342180669e+00,1.000000000000000000e+00
2.988950014114379883e-01,6.819810450309887528e+00,1.000000000000000000e+00
3.423919975757598877e-01,6.725610230176243931e+00,1.000000000000000000e+00
3.310948014259338379e-01,6.758018737658858299e+00,1.000000000000000000e+00
3.326850533485412598e-01,6.707796054135542363e+00,1.000000000000000000e+00
3.082293272018432617e-01,6.699675199459306896e+00,1.000000000000000000e+00
3.166866898536682129e-01,6.622151935473084450e+00,1.000000000000000000e+00
3.109024465084075928e-01,6.471166892442852259e+00,1.000000000000000000e+00
3.342617154121398926e-01,6.299763098941184580e+00,1.000000000000000000e+00
3.068339526653289795e-01,6.280822941800579429e+00,1.000000000000000000e+00
3.399591147899627686e-01,6.149481394561007619e+00,1.000000000000000000e+00
3.227558732032775879e-01,6.372300504939630628e+00,1.000000000000000000e+00
2.714583575725555420e-01,6.592108673998154700e+00,1.000000000000000000e+00
3.427735567092895508e-01,6.812872749636881053e+00,1.000000000000000000e+00
3.444734811782836914e-01,6.628670894424431026e+00,1.000000000000000000e+00
3.444734811782836914e-01,6.628670894424431026e+00,1.000000000000000000e+00
