# p14_a1_post, p14_a10_post, p14_a1_prior, p14_a10_post
9.425538033246994019e-02,1.119447648525238037e-01,8.210141211748123169e-03,8.819083450362086296e-04
9.131751209497451782e-02,1.122798845171928406e-01,2.599722938612103462e-03,2.233087550848722458e-03
9.368685632944107056e-02,1.088331639766693115e-01,2.402194950263947248e-04,1.397826476022601128e-03
9.089552611112594604e-02,9.591232240200042725e-02,2.694460563361644745e-03,4.646115936338901520e-03
9.365286678075790405e-02,9.916553646326065063e-02,3.052628599107265472e-03,4.933686926960945129e-03
9.901007264852523804e-02,9.748423844575881958e-02,2.467042533680796623e-03,1.846605166792869568e-02
1.044799163937568665e-01,9.783132374286651611e-02,1.065496653318405151e-01,5.208418704569339752e-03
1.235326305031776428e-01,1.062943637371063232e-01,1.420527547597885132e-01,4.111639223992824554e-03
1.231088265776634216e-01,1.042711585760116577e-01,3.713702037930488586e-02,1.836931891739368439e-02
1.231088265776634216e-01,1.136913150548934937e-01,3.008410334587097168e-01,1.682733558118343353e-02
1.303790807723999023e-01,1.059437543153762817e-01,9.547092020511627197e-02,2.292410470545291901e-02
1.266383826732635498e-01,1.059437543153762817e-01,3.890653252601623535e-01,1.742667332291603088e-02
1.401844173669815063e-01,9.881764650344848633e-02,1.119746491312980652e-01,1.786713674664497375e-02
1.397138684988021851e-01,8.361607789993286133e-02,1.623311638832092285e-01,5.923590157181024551e-03
1.257273107767105103e-01,8.053922653198242188e-02,7.020851373672485352e-01,6.795739755034446716e-03
1.190752908587455750e-01,8.240244537591934204e-02,5.460860207676887512e-02,9.573106653988361359e-03
1.108676567673683167e-01,7.886788994073867798e-02,7.322673499584197998e-02,1.238511875271797180e-03
1.143395528197288513e-01,7.886788994073867798e-02,1.042396426200866699e-01,1.603685319423675537e-02
1.171556860208511353e-01,8.608560264110565186e-02,1.309855878353118896e-01,4.493938758969306946e-02
1.270702034235000610e-01,9.005695581436157227e-02,2.473313212394714355e-01,2.862405478954315186e-01
1.151314675807952881e-01,8.476965129375457764e-02,1.696926802396774292e-01,1.120234355330467224e-01
1.093980222940444946e-01,8.167443424463272095e-02,6.646819114685058594e-01,3.275284310802817345e-03
